Domain,Ligand,Replica,Frame,dG_bind
JH1,227,1,000,-27.20398848000024
JH1,227,1,001,-32.46286447999978
JH1,227,1,002,-35.403718080000154
JH1,227,1,003,-32.841907919999635
JH1,227,1,004,-31.809969599999903
JH1,227,1,005,-35.72411112000045
JH1,227,1,006,-33.1389623199997
JH1,227,1,007,-35.22660567999982
JH1,227,1,008,-29.410383040000028
JH1,227,1,009,-30.302722639999786
JH1,227,1,010,-31.7555360800001
JH1,227,1,011,-31.45507496000053
JH1,227,1,012,-27.45731976000033
JH1,227,1,013,-36.28464975999999
JH1,227,1,014,-32.98764144000025
JH1,227,1,015,-35.388966319999824
JH1,227,1,016,-32.68627112000019
JH1,227,1,017,-33.8430038400001
JH1,227,1,018,-34.20701264000021
JH1,227,1,019,-33.57137767999994
JH1,227,1,020,-32.83604231999957
JH1,227,1,021,-33.23152615999991
JH1,227,1,022,-35.074234800000035
JH1,227,1,023,-39.770266239999984
JH1,227,1,024,-35.47473271999998
JH1,227,1,025,-33.75222287999972
JH1,227,1,026,-36.65929599999993
JH1,227,1,027,-35.05076352000006
JH1,227,1,028,-34.4175304800003
JH1,227,1,029,-35.912246560000256
JH1,227,1,030,-40.1196160000004
JH1,227,1,031,-38.015186400000474
JH1,227,1,032,-33.58840015999973
JH1,227,1,033,-36.87670360000014
JH1,227,1,034,-35.92312360000024
JH1,227,1,035,-33.98506040000039
JH1,227,1,036,-37.26243720000021
JH1,227,1,037,-35.22071576000001
JH1,227,1,038,-37.588870480000566
JH1,227,1,039,-36.030558800000136
JH1,227,1,040,-36.436820240000095
JH1,227,1,041,-35.64852615999982
JH1,227,1,042,-30.625795200000347
JH1,227,1,043,-37.52032607999992
JH1,227,1,044,-35.73641720000031
JH1,227,1,045,-36.63375944000002
JH1,227,1,046,-36.17603431999976
JH1,227,1,047,-34.15564087999992
JH1,227,1,048,-36.81815455999989
JH1,227,1,049,-31.442239120000288
JH1,227,1,050,-33.833242799999795
JH1,227,1,051,-39.329605199999925
JH1,227,1,052,-36.49584159999995
JH1,227,1,053,-41.32668272000009
JH1,227,1,054,-36.15871471999996
JH1,227,1,055,-35.39228960000001
JH1,227,1,056,-38.344639920000205
JH1,227,1,057,-36.3652436
JH1,227,1,058,-40.76332263999996
JH1,227,1,059,-34.760793200000066
JH1,227,1,060,-30.846887999999772
JH1,227,1,061,-34.05325952000014
JH1,227,1,062,-34.93760664000004
JH1,227,1,063,-36.64877695999984
JH1,227,1,064,-31.74120576000013
JH1,227,1,065,-35.505841199999786
JH1,227,1,066,-39.846048159999526
JH1,227,1,067,-37.65972848000025
JH1,227,1,068,-35.995078719999924
JH1,227,1,069,-35.747100560000035
JH1,227,1,070,-36.60811144000013
JH1,227,1,071,-38.37306103999973
JH1,227,1,072,-34.964096720000015
JH1,227,1,073,-37.93837664000016
JH1,227,1,074,-33.0935761600002
JH1,227,1,075,-33.77445288000035
JH1,227,1,076,-37.86097400000015
JH1,227,1,077,-34.799472640000005
JH1,227,1,078,-34.42842200000009
JH1,227,1,079,-41.73050376000028
JH1,227,1,080,-36.15124776000059
JH1,227,1,081,-41.116899760000166
JH1,227,1,082,-37.5374472799998
JH1,227,1,083,-35.08551055999987
JH1,227,1,084,-33.05947447999995
JH1,227,1,085,-34.804995679999756
JH1,227,1,086,-34.49379288000004
JH1,227,1,087,-35.435484959999854
JH1,227,1,088,-36.17904591999951
JH1,227,1,089,-36.57021968000014
JH1,227,1,090,-34.2357287199997
JH1,227,1,091,-37.8233429599995
JH1,227,1,092,-38.15871952000023
JH1,227,1,093,-31.314189840000104
JH1,227,1,094,-35.64930976000001
JH1,227,1,095,-35.02640895999997
JH1,227,1,096,-33.53124584000042
JH1,227,1,097,-35.411051519999944
JH1,227,1,098,-33.980606799999805
JH1,227,1,099,-38.72617728000011
JH1,227,2,000,-36.668125519999776
JH1,227,2,001,-34.31946800000004
JH1,227,2,002,-28.87674352000001
JH1,227,2,003,-35.73495999999996
JH1,227,2,004,-34.83283048000027
JH1,227,2,005,-32.00303624000033
JH1,227,2,006,-33.57213384000001
JH1,227,2,007,-31.696484160000473
JH1,227,2,008,-30.62460967999996
JH1,227,2,009,-32.59089191999969
JH1,227,2,010,-33.82604000000063
JH1,227,2,011,-33.95715455999987
JH1,227,2,012,-37.66669919999986
JH1,227,2,013,-33.745870480000235
JH1,227,2,014,-35.83465912000067
JH1,227,2,015,-31.697608719999586
JH1,227,2,016,-32.67182519999965
JH1,227,2,017,-32.98632679999997
JH1,227,2,018,-29.910523440000375
JH1,227,2,019,-29.96081224000008
JH1,227,2,020,-32.2254495199994
JH1,227,2,021,-32.29360808000023
JH1,227,2,022,-35.47325792000022
JH1,227,2,023,-34.11942576000015
JH1,227,2,024,-36.83127215999989
JH1,227,2,025,-35.30300471999974
JH1,227,2,026,-32.17116104000016
JH1,227,2,027,-31.222582000000102
JH1,227,2,028,-34.196343760000296
JH1,227,2,029,-35.21427696000019
JH1,227,2,030,-36.88247056000017
JH1,227,2,031,-33.04834680000039
JH1,227,2,032,-35.96876991999996
JH1,227,2,033,-35.27888799999957
JH1,227,2,034,-34.640101920000276
JH1,227,2,035,-35.74196352000047
JH1,227,2,036,-36.245195039999814
JH1,227,2,037,-32.245631280000325
JH1,227,2,038,-24.50539032000041
JH1,227,2,039,-33.077725039999635
JH1,227,2,040,-33.46708272000008
JH1,227,2,041,-31.511268479999853
JH1,227,2,042,-34.16468848000057
JH1,227,2,043,-32.49388160000035
JH1,227,2,044,-28.70021263999972
JH1,227,2,045,-32.12064312000011
JH1,227,2,046,-28.236126799999667
JH1,227,2,047,-28.391281119999466
JH1,227,2,048,-36.32418015999961
JH1,227,2,049,-30.931945280000125
JH1,227,2,050,-31.184437520000223
JH1,227,2,051,-30.53353040000023
JH1,227,2,052,-34.974466079999836
JH1,227,2,053,-31.214323200000354
JH1,227,2,054,-29.44019776000041
JH1,227,2,055,-28.826676719999945
JH1,227,2,056,-27.917042719999948
JH1,227,2,057,-29.244375919999783
JH1,227,2,058,-31.16559072000026
JH1,227,2,059,-37.25033648000073
JH1,227,2,060,-34.25474040000005
JH1,227,2,061,-35.08145184000006
JH1,227,2,062,-31.027245919999892
JH1,227,2,063,-30.500068480000355
JH1,227,2,064,-27.4890532799998
JH1,227,2,065,-33.88327807999966
JH1,227,2,066,-29.225166799999982
JH1,227,2,067,-31.97611864000021
JH1,227,2,068,-29.202391280000086
JH1,227,2,069,-31.55796271999947
JH1,227,2,070,-29.147924480000693
JH1,227,2,071,-32.675523040000094
JH1,227,2,072,-28.9054102399996
JH1,227,2,073,-34.1730168799997
JH1,227,2,074,-35.31827287999988
JH1,227,2,075,-27.399041359999988
JH1,227,2,076,-34.525848639999424
JH1,227,2,077,-33.89164815999963
JH1,227,2,078,-28.908917999999936
JH1,227,2,079,-35.41256263999987
JH1,227,2,080,-37.28506095999968
JH1,227,2,081,-30.662466239999695
JH1,227,2,082,-31.919278080000474
JH1,227,2,083,-30.86046703999999
JH1,227,2,084,-29.72539967999976
JH1,227,2,085,-30.69691576000005
JH1,227,2,086,-29.78939576000001
JH1,227,2,087,-37.00574960000033
JH1,227,2,088,-33.969330000000106
JH1,227,2,089,-32.818484639999944
JH1,227,2,090,-31.840066959999966
JH1,227,2,091,-30.742966079999803
JH1,227,2,092,-26.849007439999763
JH1,227,2,093,-28.443012800000414
JH1,227,2,094,-30.26668871999971
JH1,227,2,095,-32.981439679999895
JH1,227,2,096,-31.153677680000165
JH1,227,2,097,-34.86103184000061
JH1,227,2,098,-35.40954208000023
JH1,227,2,099,-32.33299072000029
JH1,227,3,000,-26.956591039999633
JH1,227,3,001,-34.415387760000314
JH1,227,3,002,-35.66311008000029
JH1,227,3,003,-35.24343039999993
JH1,227,3,004,-31.92307599999993
JH1,227,3,005,-29.854495280000098
JH1,227,3,006,-32.95786135999985
JH1,227,3,007,-39.33509336000003
JH1,227,3,008,-30.803716879999847
JH1,227,3,009,-28.555243360000105
JH1,227,3,010,-33.09670583999977
JH1,227,3,011,-28.694726960000217
JH1,227,3,012,-32.876319360000046
JH1,227,3,013,-29.67763104000013
JH1,227,3,014,-36.64129200000036
JH1,227,3,015,-32.76120136000003
JH1,227,3,016,-35.510157199999774
JH1,227,3,017,-32.57688200000049
JH1,227,3,018,-37.556365919999955
JH1,227,3,019,-35.7678703999999
JH1,227,3,020,-35.91457760000028
JH1,227,3,021,-33.20520783999944
JH1,227,3,022,-37.48128391999975
JH1,227,3,023,-34.26366656000036
JH1,227,3,024,-36.06592776000007
JH1,227,3,025,-34.78549248000003
JH1,227,3,026,-33.412137359999804
JH1,227,3,027,-36.03301095999994
JH1,227,3,028,-31.958418879999595
JH1,227,3,029,-32.04066776000011
JH1,227,3,030,-32.38162824000022
JH1,227,3,031,-34.35728239999999
JH1,227,3,032,-35.1234064799997
JH1,227,3,033,-34.393905839999505
JH1,227,3,034,-35.826316640000485
JH1,227,3,035,-40.74433736000009
JH1,227,3,036,-40.97726208000016
JH1,227,3,037,-34.5284307200001
JH1,227,3,038,-37.276119119999954
JH1,227,3,039,-36.71026447999957
JH1,227,3,040,-37.85594167999989
JH1,227,3,041,-34.9468998399994
JH1,227,3,042,-36.3132276800001
JH1,227,3,043,-38.659421600000044
JH1,227,3,044,-34.32970695999972
JH1,227,3,045,-35.851287839999785
JH1,227,3,046,-40.9169687199998
JH1,227,3,047,-32.23983183999983
JH1,227,3,048,-33.90898888000008
JH1,227,3,049,-30.193707680000024
JH1,227,3,050,-37.5350836000001
JH1,227,3,051,-34.63291359999974
JH1,227,3,052,-36.638830319999954
JH1,227,3,053,-36.8404816800001
JH1,227,3,054,-34.714050000000206
JH1,227,3,055,-33.1234043999998
JH1,227,3,056,-32.329746560000046
JH1,227,3,057,-36.84156359999974
JH1,227,3,058,-35.194931039999894
JH1,227,3,059,-35.33382727999963
JH1,227,3,060,-33.441477440000405
JH1,227,3,061,-36.74805767999973
JH1,227,3,062,-34.579553199999715
JH1,227,3,063,-34.69587119999977
JH1,227,3,064,-35.64811168
JH1,227,3,065,-35.65187128000021
JH1,227,3,066,-34.4606982400001
JH1,227,3,067,-32.354081919999885
JH1,227,3,068,-38.771416159999674
JH1,227,3,069,-35.74974087999963
JH1,227,3,070,-38.00439839999966
JH1,227,3,071,-37.89232184000017
JH1,227,3,072,-36.48896792000002
JH1,227,3,073,-34.58762832000002
JH1,227,3,074,-36.46806255999976
JH1,227,3,075,-34.83701920000024
JH1,227,3,076,-33.24363103999964
JH1,227,3,077,-35.44448495999981
JH1,227,3,078,-39.75706367999987
JH1,227,3,079,-35.70306136000004
JH1,227,3,080,-35.45742240000016
JH1,227,3,081,-36.19085848000028
JH1,227,3,082,-34.31093543999984
JH1,227,3,083,-35.64102208000011
JH1,227,3,084,-33.60967512000005
JH1,227,3,085,-32.79079951999973
JH1,227,3,086,-37.27611383999965
JH1,227,3,087,-35.91174511999982
JH1,227,3,088,-34.69766519999969
JH1,227,3,089,-38.34132135999965
JH1,227,3,090,-35.981726719999926
JH1,227,3,091,-35.25208367999993
JH1,227,3,092,-32.629143360000285
JH1,227,3,093,-33.321269760000504
JH1,227,3,094,-33.499413280000326
JH1,227,3,095,-34.395685599999936
JH1,227,3,096,-31.196791680000388
JH1,227,3,097,-37.9078191199998
JH1,227,3,098,-33.48877503999977
JH1,227,3,099,-32.256319919999896
JH1,299,1,000,-6.991284080000334
JH1,299,1,001,-8.625845200000715
JH1,299,1,002,-11.083584640000524
JH1,299,1,003,-13.521922800000377
JH1,299,1,004,-9.564553439999804
JH1,299,1,005,-9.331642639999533
JH1,299,1,006,-5.439943999999661
JH1,299,1,007,-13.784106159999716
JH1,299,1,008,-14.651576720000435
JH1,299,1,009,-12.352568400000044
JH1,299,1,010,-6.822620000000413
JH1,299,1,011,-11.373010400000105
JH1,299,1,012,-12.985633520000343
JH1,299,1,013,-5.785977279999873
JH1,299,1,014,-5.106327600000075
JH1,299,1,015,-12.593222799999719
JH1,299,1,016,-11.094103280000528
JH1,299,1,017,-8.147790560000075
JH1,299,1,018,-14.362056399999862
JH1,299,1,019,-15.8377292799996
JH1,299,1,020,-9.75898752000016
JH1,299,1,021,-9.179093200000054
JH1,299,1,022,-17.73687296000047
JH1,299,1,023,-8.926004559999859
JH1,299,1,024,-13.48468063999966
JH1,299,1,025,-13.118202080000028
JH1,299,1,026,-6.301887759999741
JH1,299,1,027,-12.575649680000138
JH1,299,1,028,-17.622202320000103
JH1,299,1,029,-6.452750559999757
JH1,299,1,030,-10.416163359999906
JH1,299,1,031,0.16901655999979148
JH1,299,1,032,-7.051525519999941
JH1,299,1,033,-2.1320978400002066
JH1,299,1,034,-8.919371680000108
JH1,299,1,035,-3.8593661600001417
JH1,299,1,036,-6.775937839999831
JH1,299,1,037,-10.784198640000493
JH1,299,1,038,-6.233188480000179
JH1,299,1,039,-10.018537919999952
JH1,299,1,040,-9.587483040000212
JH1,299,1,041,-11.287927200000304
JH1,299,1,042,-4.512453279999727
JH1,299,1,043,-5.702666400000107
JH1,299,1,044,-9.713816319999669
JH1,299,1,045,-3.2653578400000267
JH1,299,1,046,-11.45238247999977
JH1,299,1,047,-8.399989360000067
JH1,299,1,048,-12.756824479999711
JH1,299,1,049,-7.769870480000267
JH1,299,1,050,-12.721311280000448
JH1,299,1,051,-4.3921205600004445
JH1,299,1,052,-8.613283919999587
JH1,299,1,053,-4.171125439999987
JH1,299,1,054,-9.268142000000662
JH1,299,1,055,-4.692452560000001
JH1,299,1,056,-4.555054640000337
JH1,299,1,057,-5.6106480000000944
JH1,299,1,058,-7.608698319999667
JH1,299,1,059,-4.828265679999931
JH1,299,1,060,-3.3800660000006637
JH1,299,1,061,-5.704815519999741
JH1,299,1,062,-14.040778160000267
JH1,299,1,063,-11.401274000000065
JH1,299,1,064,-10.39442191999973
JH1,299,1,065,-1.5000086400001154
JH1,299,1,066,-12.352476720000347
JH1,299,1,067,-6.283961360000017
JH1,299,1,068,-5.268476639999873
JH1,299,1,069,-14.81002736000003
JH1,299,1,070,-8.233915520000206
JH1,299,1,071,-0.40600048000017974
JH1,299,1,072,0.8664074399998736
JH1,299,1,073,-0.21006160000006702
JH1,299,1,074,-0.2399687999999882
JH1,299,1,075,-5.681813519999961
JH1,299,1,076,-3.7349088000000377
JH1,299,1,077,-1.4081607199997137
JH1,299,1,078,0.18972344000026276
JH1,299,1,079,-4.908714240000322
JH1,299,1,080,-6.791004639999866
JH1,299,1,081,-4.245210399999669
JH1,299,1,082,-9.091981279999482
JH1,299,1,083,-5.069706559999925
JH1,299,1,084,-4.2271052800001865
JH1,299,1,085,-3.2277415999999537
JH1,299,1,086,-1.955753119999851
JH1,299,1,087,-6.7814519999997245
JH1,299,1,088,-9.522031679999818
JH1,299,1,089,-10.533931999999833
JH1,299,1,090,-9.774280720000208
JH1,299,1,091,-5.540455279999927
JH1,299,1,092,-5.391802399999963
JH1,299,1,093,-9.015144080000217
JH1,299,1,094,-2.079755280000292
JH1,299,1,095,-8.336727920000248
JH1,299,1,096,-5.456404320000329
JH1,299,1,097,-6.76386984000026
JH1,299,1,098,-9.176335680000236
JH1,299,1,099,-2.485780799999885
JH1,299,2,000,-1.9105433599998882
JH1,299,2,001,-11.646617759999991
JH1,299,2,002,-8.377133359999704
JH1,299,2,003,-4.88413672000023
JH1,299,2,004,-12.201955759999889
JH1,299,2,005,-5.257085359999721
JH1,299,2,006,-8.915775760000145
JH1,299,2,007,-6.182954720000566
JH1,299,2,008,-7.862140159999953
JH1,299,2,009,-4.834636080000511
JH1,299,2,010,-8.809228639999713
JH1,299,2,011,-13.269092800000063
JH1,299,2,012,-10.335455279999914
JH1,299,2,013,-4.142114160000172
JH1,299,2,014,-4.518011679999871
JH1,299,2,015,-3.3547889600002705
JH1,299,2,016,-7.198557040000031
JH1,299,2,017,-10.108586959999917
JH1,299,2,018,-9.712966559999895
JH1,299,2,019,-9.657388639999956
JH1,299,2,020,-6.158030640000161
JH1,299,2,021,-3.3531748000000285
JH1,299,2,022,-5.002144239999625
JH1,299,2,023,-9.774097440000284
JH1,299,2,024,-7.889174400000074
JH1,299,2,025,-7.564404159999914
JH1,299,2,026,-5.547726239999437
JH1,299,2,027,-9.891729679999997
JH1,299,2,028,-4.463532000000157
JH1,299,2,029,-4.53179352000009
JH1,299,2,030,-6.388015840000191
JH1,299,2,031,-8.66232488
JH1,299,2,032,-10.911528480000445
JH1,299,2,033,-8.862083039999876
JH1,299,2,034,-5.185395360000024
JH1,299,2,035,-10.048048959999933
JH1,299,2,036,-4.632196160000397
JH1,299,2,037,-0.226925440000028
JH1,299,2,038,-12.942071279999828
JH1,299,2,039,-8.475626479999907
JH1,299,2,040,-2.1540346400002863
JH1,299,2,041,-8.47579967999995
JH1,299,2,042,-8.165619120000574
JH1,299,2,043,-9.49079392000013
JH1,299,2,044,-7.807890640000256
JH1,299,2,045,-7.172679200000259
JH1,299,2,046,-7.787210000000119
JH1,299,2,047,-15.98218688000004
JH1,299,2,048,-6.968838159999921
JH1,299,2,049,-12.99964719999992
JH1,299,2,050,-15.951115519999908
JH1,299,2,051,-12.246565119999978
JH1,299,2,052,-14.297506480000562
JH1,299,2,053,-11.73712511999992
JH1,299,2,054,-9.60411191999963
JH1,299,2,055,-10.354000079999885
JH1,299,2,056,-10.645175199999695
JH1,299,2,057,-11.337851040000224
JH1,299,2,058,-12.6863216
JH1,299,2,059,-13.268754800000027
JH1,299,2,060,-4.480798559999487
JH1,299,2,061,-10.089570079999929
JH1,299,2,062,-14.20415959999994
JH1,299,2,063,-12.379355520000118
JH1,299,2,064,-15.05380215999968
JH1,299,2,065,-12.39656288000018
JH1,299,2,066,-13.228798799999485
JH1,299,2,067,-13.075338319999549
JH1,299,2,068,-15.02026192000012
JH1,299,2,069,-11.64230567999988
JH1,299,2,070,-18.80322816000001
JH1,299,2,071,-16.147196559999635
JH1,299,2,072,-12.94278895999997
JH1,299,2,073,-14.094728640000312
JH1,299,2,074,-7.65906272000011
JH1,299,2,075,-11.453094160000266
JH1,299,2,076,-8.953911920000046
JH1,299,2,078,-13.705018159999941
JH1,299,2,079,-12.833406720000104
JH1,299,2,080,-9.204560960000325
JH1,299,2,081,-10.594680239999523
JH1,299,2,082,-18.373362319999693
JH1,299,2,083,-14.24237144000044
JH1,299,2,084,-6.573673279999842
JH1,299,2,085,-11.378031360000207
JH1,299,2,086,-22.06751864000007
JH1,299,2,087,-21.425669920000168
JH1,299,2,088,-8.414662559999677
JH1,299,2,089,-12.430229600000043
JH1,299,2,090,-5.702467520000422
JH1,299,2,091,-10.567485439999732
JH1,299,2,092,-5.7589114400000625
JH1,299,2,094,-8.217394960000178
JH1,299,2,095,-5.920682319999953
JH1,299,2,096,-9.582305920000088
JH1,299,2,097,-9.619368559999968
JH1,299,2,098,-20.28936272000018
JH1,299,2,099,-14.984958079999975
JH1,299,3,000,-16.013332480000187
JH1,299,3,001,-16.054906960000007
